dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.2.s.txt,1,18008,100,2,115.0,1248.0,1276.0,2.19435736677116,0,0.375439099999312,20,7,7,13,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.t.txt,0,19007,100,2,120.0,1284.0,1295.0,0.8494208494208495,0,0.3708398999997371,20,11,11,9,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.t.txt,1,19008,100,2,120.0,1295.0,1295.0,0.0,1,0.39403330000004644,20,13,13,7,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.a.txt,0,20007,100,3,16.7,0,0.0,0.0,1,0.007419000000481901,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.a.txt,1,20008,100,3,16.7,0,0.0,0.0,1,0.009025599999404221,20,0,0,20,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.b.txt,0,21007,100,3,20.0,38.0,38.0,0.0,1,0.024027100000239443,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.b.txt,1,21008,100,3,20.0,38.0,38.0,0.0,1,0.030655900000056135,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.c.txt,0,22007,100,3,23.3,193.0,193.0,0.0,1,0.08846880000055535,20,20,20,0,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.c.txt,1,22008,100,3,23.3,187.0,193.0,3.1088082901554404,0,0.06735599999956321,20,7,7,13,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.d.txt,0,23007,100,3,26.7,335.0,335.0,0.0,1,0.12219890000051237,20,19,19,1,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.d.txt,1,23008,100,3,26.7,322.0,335.0,3.880597014925373,0,0.1208598000002894,20,15,15,5,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.e.txt,0,24007,100,3,30.0,460.0,460.0,0.0,1,0.1474288000008528,20,2,2,18,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.e.txt,1,24008,100,3,30.0,460.0,460.0,0.0,1,0.15723370000068826,20,12,12,8,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.f.txt,0,25007,100,3,33.3,515.0,559.0,7.8711985688729875,0,0.17016609999973298,20,20,20,0,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.f.txt,1,25008,100,3,33.3,559.0,559.0,0.0,1,0.19123429999945074,20,19,19,1,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.g.txt,0,26007,100,3,36.7,582.0,622.0,6.430868167202572,0,0.20243409999966389,20,9,9,11,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.g.txt,1,26008,100,3,36.7,622.0,622.0,0.0,1,0.22983899999962887,20,18,18,2,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.h.txt,0,27007,100,3,40.0,653.0,673.0,2.9717682020802374,0,0.2476448999996137,20,13,13,7,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.h.txt,1,27008,100,3,40.0,673.0,673.0,0.0,1,0.2868617999993148,20,19,19,1,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.i.txt,0,28007,100,3,43.3,774.0,774.0,0.0,1,0.397998400000688,20,8,8,12,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.i.txt,1,28008,100,3,43.3,765.0,774.0,1.1627906976744187,0,0.32490689999940514,20,6,6,14,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.j.txt,0,29007,100,3,46.7,833.0,833.0,0.0,1,0.31822879999981524,20,4,4,16,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.j.txt,1,29008,100,3,46.7,806.0,833.0,3.241296518607443,0,0.2718138000000181,20,7,7,13,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.k.txt,0,30007,100,3,50.0,878.0,878.0,0.0,1,0.4282656000004863,20,13,13,7,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.k.txt,1,30008,100,3,50.0,833.0,878.0,5.125284738041002,0,0.3197937999993883,20,2,2,18,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.3.l.txt,0,31007,100,3,53.3,916.0,916.0,0.0,1,0.3660514000002877,20,16,16,4,1,1,N/A (ILS),N/A (ILS),ok
