dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.3.i.txt,100,3,2,774.0,774.0,769.5,6.363961030678928,0.36145265000004656,0.36145265000004656,7.0,50.0,0.5813953488372093,1.1627906976744187
chao,p4.3.j.txt,100,3,2,833.0,833.0,819.5,19.091883092036785,0.29502129999991666,0.29502129999991666,5.5,50.0,1.6206482593037215,3.241296518607443
chao,p4.3.k.txt,100,3,2,878.0,878.0,855.5,31.81980515339464,0.3740296999999373,0.3740296999999373,7.5,50.0,2.562642369020501,5.125284738041002
chao,p4.3.l.txt,100,3,2,916.0,916.0,892.0,33.94112549695428,0.3827089500000511,0.3827089500000511,16.0,50.0,2.6200873362445414,5.240174672489083
chao,p4.3.m.txt,100,3,2,962.0,962.0,941.5,28.991378028648448,0.360961750000115,0.360961750000115,14.0,50.0,2.130977130977131,4.261954261954262
chao,p4.3.n.txt,100,3,2,1056.0,1056.0,1039.5,23.33452377915607,0.3521294000006492,0.3521294000006492,16.0,50.0,1.5625,3.125
chao,p4.3.o.txt,100,3,2,1076.0,1076.0,1069.5,9.192388155425117,0.3637143500000093,0.3637143500000093,17.5,50.0,0.604089219330855,1.20817843866171
chao,p4.3.p.txt,100,3,2,1155.0,1155.0,1139.5,21.920310216782973,0.37233000000014727,0.37233000000014727,20.0,50.0,1.341991341991342,2.683982683982684
chao,p4.3.q.txt,100,3,2,1169.0,1169.0,1164.0,7.0710678118654755,0.41445840000005774,0.41445840000005774,18.5,50.0,0.42771599657827203,0.8554319931565441
chao,p4.3.r.txt,100,3,2,1175.0,1175.0,1165.0,14.142135623730951,0.3866478999998435,0.3866478999998435,12.0,50.0,0.851063829787234,1.702127659574468
chao,p4.3.s.txt,100,3,2,1239.0,1239.0,1228.5,14.849242404917497,0.36398929999995744,0.36398929999995744,14.0,50.0,0.847457627118644,1.694915254237288
chao,p4.3.t.txt,100,3,2,1271.0,1271.0,1261.0,14.142135623730951,0.371529599999576,0.371529599999576,16.5,50.0,0.7867820613690008,1.5735641227380015
chao,p4.4.a.txt,100,4,2,0.0,0.0,0.0,0.0,0.009403000000020256,0.009403000000020256,0.0,100.0,0.0,0.0
chao,p4.4.b.txt,100,4,2,0.0,0.0,0.0,0.0,0.011081149999881745,0.011081149999881745,0.0,100.0,0.0,0.0
chao,p4.4.c.txt,100,4,2,0.0,0.0,0.0,0.0,0.009130600000389677,0.009130600000389677,0.0,100.0,0.0,0.0
chao,p4.4.d.txt,100,4,2,38.0,38.0,38.0,0.0,0.028276900000491878,0.028276900000491878,0.0,100.0,0.0,0.0
chao,p4.4.e.txt,100,4,2,182.0,182.0,182.0,0.0,0.07830480000029638,0.07830480000029638,10.5,100.0,0.0,0.0
chao,p4.4.f.txt,100,4,2,315.0,315.0,312.0,4.242640687119285,0.12494800000013129,0.12494800000013129,14.5,50.0,0.9523809523809524,1.9047619047619049
chao,p4.4.g.txt,100,4,2,444.0,444.0,438.5,7.7781745930520225,0.17585105000034673,0.17585105000034673,15.0,50.0,1.2387387387387387,2.4774774774774775
chao,p4.4.h.txt,100,4,2,522.0,522.0,519.0,4.242640687119285,0.2570897000000514,0.2570897000000514,3.5,50.0,0.5747126436781609,1.1494252873563218
chao,p4.4.i.txt,100,4,2,636.0,636.0,630.5,7.7781745930520225,0.2609504500001094,0.2609504500001094,12.5,50.0,0.8647798742138365,1.729559748427673
chao,p4.4.j.txt,100,4,2,702.0,702.0,685.5,23.33452377915607,0.26195174999929804,0.26195174999929804,15.0,50.0,2.3504273504273505,4.700854700854701
chao,p4.4.k.txt,100,4,2,748.0,748.0,744.5,4.949747468305833,0.2988081999997121,0.2988081999997121,18.5,50.0,0.4679144385026738,0.9358288770053476
chao,p4.4.l.txt,100,4,2,836.0,836.0,796.0,56.568542494923804,0.3215608999998949,0.3215608999998949,6.5,50.0,4.784688995215311,9.569377990430622
chao,p4.4.m.txt,100,4,2,896.0,896.0,871.0,35.35533905932738,0.3367511499995999,0.3367511499995999,18.0,50.0,2.7901785714285716,5.580357142857143
chao,p4.4.n.txt,100,4,2,928.0,928.0,914.0,19.79898987322333,0.3604112499997427,0.3604112499997427,16.5,50.0,1.5086206896551724,3.0172413793103448
chao,p4.4.o.txt,100,4,2,972.0,972.0,972.0,0.0,0.35977444999980435,0.35977444999980435,11.0,100.0,0.0,0.0
chao,p4.4.p.txt,100,4,2,1009.0,1009.0,972.5,51.61879502661797,0.3747243500001787,0.3747243500001787,12.0,50.0,3.617443012884044,7.234886025768088
chao,p4.4.q.txt,100,4,2,1051.0,1051.0,1031.0,28.284271247461902,0.3672635500006436,0.3672635500006436,16.5,50.0,1.9029495718363463,3.8058991436726926
chao,p4.4.r.txt,100,4,2,1126.0,1126.0,1124.5,2.1213203435596424,0.3753907000000254,0.3753907000000254,18.0,50.0,0.13321492007104796,0.2664298401420959
chao,p4.4.s.txt,100,4,2,1180.0,1180.0,1135.5,62.932503525602726,0.401874300000145,0.401874300000145,9.0,50.0,3.7711864406779663,7.5423728813559325
chao,p4.4.t.txt,100,4,2,1256.0,1256.0,1232.0,33.94112549695428,0.4141391999996813,0.4141391999996813,18.0,50.0,1.910828025477707,3.821656050955414
chao,p5.2.a.txt,66,2,2,0.0,0.0,0.0,0.0,0.003990699999576464,0.003990699999576464,0.0,100.0,0.0,0.0
chao,p5.2.b.txt,66,2,2,20.0,20.0,20.0,0.0,0.01573710000002393,0.01573710000002393,0.0,100.0,0.0,0.0
chao,p5.2.c.txt,66,2,2,50.0,50.0,50.0,0.0,0.018633849999787344,0.018633849999787344,9.0,100.0,0.0,0.0
chao,p5.2.d.txt,66,2,2,80.0,80.0,80.0,0.0,0.024530650000542664,0.024530650000542664,1.0,100.0,0.0,0.0
chao,p5.2.e.txt,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.03186920000007376,0.03186920000007376,4.5,50.0,1.3888888888888888,2.7777777777777777
chao,p5.2.f.txt,66,2,2,240.0,240.0,227.5,17.67766952966369,0.033566500000233646,0.033566500000233646,4.0,50.0,5.208333333333334,10.416666666666668
chao,p5.2.g.txt,66,2,2,320.0,320.0,320.0,0.0,0.045288000000255124,0.045288000000255124,1.5,100.0,0.0,0.0
chao,p5.2.h.txt,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.04965200000015102,0.04965200000015102,2.0,50.0,0.641025641025641,1.282051282051282
chao,p5.2.i.txt,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.054219649999595276,0.054219649999595276,6.5,50.0,0.5434782608695652,1.0869565217391304
chao,p5.2.j.txt,66,2,2,555.0,555.0,555.0,0.0,0.06094650000022739,0.06094650000022739,7.5,100.0,0.0,0.0
chao,p5.2.k.txt,66,2,2,660.0,660.0,650.0,14.142135623730951,0.06856245000017225,0.06856245000017225,9.5,50.0,1.5151515151515151,3.0303030303030303
chao,p5.2.l.txt,66,2,2,770.0,770.0,760.0,14.142135623730951,0.07968170000003738,0.07968170000003738,12.0,50.0,1.2987012987012987,2.5974025974025974
chao,p5.2.m.txt,66,2,2,835.0,835.0,817.5,24.748737341529164,0.0965237000000343,0.0965237000000343,5.5,50.0,2.095808383233533,4.191616766467066
chao,p5.2.n.txt,66,2,2,900.0,900.0,882.5,24.748737341529164,0.09540695000032429,0.09540695000032429,10.5,50.0,1.9444444444444444,3.888888888888889
chao,p5.2.o.txt,66,2,2,995.0,995.0,967.5,38.890872965260115,0.10498564999988957,0.10498564999988957,14.5,50.0,2.763819095477387,5.527638190954774
chao,p5.2.p.txt,66,2,2,1150.0,1150.0,1105.0,63.63961030678928,0.11865904999967825,0.11865904999967825,10.0,50.0,3.91304347826087,7.82608695652174
chao,p5.2.q.txt,66,2,2,1140.0,1140.0,1132.5,10.606601717798213,0.10291595000035159,0.10291595000035159,8.5,50.0,0.6578947368421052,1.3157894736842104
chao,p5.2.r.txt,66,2,2,1250.0,1250.0,1247.5,3.5355339059327378,0.10737364999977217,0.10737364999977217,13.5,50.0,0.2,0.4
chao,p5.2.s.txt,66,2,2,1310.0,1310.0,1302.5,10.606601717798213,0.11564485000008062,0.11564485000008062,16.0,50.0,0.5725190839694656,1.1450381679389312
chao,p5.2.t.txt,66,2,2,1390.0,1390.0,1362.5,38.890872965260115,0.12071294999987003,0.12071294999987003,10.0,50.0,1.9784172661870503,3.9568345323741005
chao,p5.2.u.txt,66,2,2,1460.0,1460.0,1445.0,21.213203435596427,0.11919285000021773,0.11919285000021773,18.0,50.0,1.0273972602739725,2.054794520547945
chao,p5.2.v.txt,66,2,2,1475.0,1475.0,1470.0,7.0710678118654755,0.11312850000012986,0.11312850000012986,9.0,50.0,0.3389830508474576,0.6779661016949152
chao,p5.2.w.txt,66,2,2,1540.0,1540.0,1530.0,14.142135623730951,0.1254228999996485,0.1254228999996485,17.5,50.0,0.6493506493506493,1.2987012987012987
chao,p5.2.x.txt,66,2,2,1590.0,1590.0,1577.5,17.67766952966369,0.1323409999999967,0.1323409999999967,10.0,50.0,0.7861635220125787,1.5723270440251573
chao,p5.2.y.txt,66,2,2,1625.0,1625.0,1620.0,7.0710678118654755,0.1187316000005012,0.1187316000005012,9.5,50.0,0.3076923076923077,0.6153846153846154
chao,p5.2.z.txt,66,2,2,1665.0,1665.0,1657.5,10.606601717798213,0.1276059500005431,0.1276059500005431,7.0,50.0,0.45045045045045046,0.9009009009009009
chao,p5.3.a.txt,66,3,2,0.0,0.0,0.0,0.0,0.0047595999999430205,0.0047595999999430205,0.0,100.0,0.0,0.0
chao,p5.3.b.txt,66,3,2,15.0,15.0,15.0,0.0,0.0259760499998265,0.0259760499998265,0.0,100.0,0.0,0.0
chao,p5.3.c.txt,66,3,2,20.0,20.0,20.0,0.0,0.022985700000390352,0.022985700000390352,0.0,100.0,0.0,0.0
chao,p5.3.d.txt,66,3,2,60.0,60.0,60.0,0.0,0.0283403499997803,0.0283403499997803,0.0,100.0,0.0,0.0
chao,p5.3.e.txt,66,3,2,95.0,95.0,95.0,0.0,0.03577244999996765,0.03577244999996765,3.5,100.0,0.0,0.0
chao,p5.3.f.txt,66,3,2,110.0,110.0,110.0,0.0,0.03141439999990325,0.03141439999990325,0.0,100.0,0.0,0.0
