dataset,num_instances,num_runs,mean_cpu_time_seconds,median_cpu_time_seconds,p90_cpu_time_seconds,mean_iterations_to_convergence,mean_gap_to_reference_best_percent,median_gap_to_reference_best_percent,p90_gap_to_reference_best_percent,success_rate_percent,score_mean,score_std,score_p10,score_p50,score_p90
chao,240,480,0.15054779874998492,0.11710619999985283,0.35424239999974816,8.804166666666667,1.119190635307835,0.0,3.896103896103896,66.04166666666667,635.4,461.7893563123129,0.0,649.0,1239.0
dang,82,164,3.6323639225610096,2.466868799999702,11.35351989999981,14.859756097560975,1.9076765117170535,0.0,6.583969465648855,53.65853658536586,3898.9634146341464,3279.26031965321,101.0,2930.0,9225.0
vansteenwegen,67,134,2.411090378358223,2.098286899999948,4.276408300000185,14.798507462686567,1.9435373601104569,0.0,6.422443774634826,54.47761194029851,3498.5746268656717,2834.632811952808,97.0,2599.0,7355.0
