dataset,instance,num_nodes,mean_cpu_time_seconds
chao,p5.4.d.txt,66,0.030218849999982922
chao,p5.4.e.txt,66,0.024075449999600096
chao,p5.4.f.txt,66,0.04088045000025886
chao,p5.4.g.txt,66,0.04486545000008846
chao,p5.4.h.txt,66,0.04901174999986324
chao,p5.4.i.txt,66,0.06374909999976808
chao,p5.4.j.txt,66,0.0772476999995888
chao,p5.4.k.txt,66,0.07209445000034975
chao,p5.4.l.txt,66,0.07855015000041021
chao,p5.4.m.txt,66,0.08710324999992736
chao,p5.4.n.txt,66,0.09441759999981514
chao,p5.4.o.txt,66,0.13119054999970103
chao,p5.4.p.txt,66,0.11978089999956865
chao,p5.4.q.txt,66,0.11738175000027695
chao,p5.4.r.txt,66,0.1138086500004647
chao,p5.4.s.txt,66,0.13200855000059164
chao,p5.4.t.txt,66,0.1303044500004944
chao,p5.4.u.txt,66,0.13122829999974783
chao,p5.4.v.txt,66,0.13913814999978058
chao,p5.4.w.txt,66,0.13691919999973834
chao,p5.4.x.txt,66,0.14260765000017273
chao,p5.4.y.txt,66,0.12196804999985034
chao,p5.4.z.txt,66,0.20735200000035547
chao,p6.2.a.txt,64,0.006008199999996577
chao,p6.2.b.txt,64,0.0062265499996101425
chao,p6.2.c.txt,64,0.004490049999731127
chao,p6.2.d.txt,64,0.07266639999988911
chao,p6.2.e.txt,64,0.08609959999967032
chao,p6.2.f.txt,64,0.12099790000002031
chao,p6.2.g.txt,64,0.13768845000004148
chao,p6.2.h.txt,64,0.0914044000001013
chao,p6.2.i.txt,64,0.10639485000046989
chao,p6.2.j.txt,64,0.11838244999989911
chao,p6.2.k.txt,64,0.12006454999982452
chao,p6.2.l.txt,64,0.11259019999988595
chao,p6.2.m.txt,64,0.10818784999992204
chao,p6.2.n.txt,64,0.12033429999974032
chao,p6.3.a.txt,64,0.004635199999938777
chao,p6.3.b.txt,64,0.004621300000053452
chao,p6.3.c.txt,64,0.00459709999995539
chao,p6.3.d.txt,64,0.004659300000184885
chao,p6.3.e.txt,64,0.004744899999877816
chao,p6.3.f.txt,64,0.004651800000374351
chao,p6.3.g.txt,64,0.055698799999845505
chao,p6.3.h.txt,64,0.0707095500001742
chao,p6.3.i.txt,64,0.09732480000002397
chao,p6.3.j.txt,64,0.10865354999987176
chao,p6.3.k.txt,64,0.11688019999974131
chao,p6.3.l.txt,64,0.10906924999972034
chao,p6.3.m.txt,64,0.11722259999987727
chao,p6.3.n.txt,64,0.12120194999988598
chao,p6.4.a.txt,64,0.005499099999724422
chao,p6.4.b.txt,64,0.009264900000289344
chao,p6.4.c.txt,64,0.015958950000367622
chao,p6.4.d.txt,64,0.011421050000080868
chao,p6.4.e.txt,64,0.005918249999922409
chao,p6.4.f.txt,64,0.0057029499998861866
chao,p6.4.g.txt,64,0.005755649999628076
chao,p6.4.h.txt,64,0.005715150000014546
chao,p6.4.i.txt,64,0.006341650000194932
chao,p6.4.j.txt,64,0.0710910499997226
chao,p6.4.k.txt,64,0.08599294999976337
chao,p6.4.l.txt,64,0.11771395000005214
chao,p6.4.m.txt,64,0.13640745000020615
chao,p6.4.n.txt,64,0.13780180000003384
chao,p7.2.a.txt,102,0.02489980000018477
chao,p7.2.b.txt,102,0.029444400000102178
chao,p7.2.c.txt,102,0.03421889999981431
chao,p7.2.d.txt,102,0.0577946499997779
chao,p7.2.e.txt,102,0.07444504999966739
chao,p7.2.f.txt,102,0.1031315000000177
chao,p7.2.g.txt,102,0.10601479999968433
chao,p7.2.h.txt,102,0.13171684999997524
chao,p7.2.i.txt,102,0.16380740000022342
chao,p7.2.j.txt,102,0.18474950000063473
chao,p7.2.k.txt,102,0.20661710000013045
chao,p7.2.l.txt,102,0.22020830000019487
chao,p7.2.m.txt,102,0.22555019999981596
chao,p7.2.n.txt,102,0.2661756500001502
chao,p7.2.o.txt,102,0.32393914999966
chao,p7.2.p.txt,102,0.2788777500004471
chao,p7.2.q.txt,102,0.3146671499994227
chao,p7.2.r.txt,102,0.3317125999997188
chao,p7.2.s.txt,102,0.3343550999998115
chao,p7.2.t.txt,102,0.35877769999979137
chao,p7.3.a.txt,102,0.00828315000035218
chao,p7.3.b.txt,102,0.02610740000000078
chao,p7.3.c.txt,102,0.03836974999967424
chao,p7.3.d.txt,102,0.05417460000035135
chao,p7.3.e.txt,102,0.058176450000246405
chao,p7.3.f.txt,102,0.07501174999970317
chao,p7.3.g.txt,102,0.10740569999961735
chao,p7.3.h.txt,102,0.126129199999923
chao,p7.3.i.txt,102,0.16007149999995818
chao,p7.3.j.txt,102,0.1904594999996334
chao,p7.3.k.txt,102,0.20297024999990754
chao,p7.3.l.txt,102,0.2079126499997983
chao,p7.3.m.txt,102,0.21754180000016277
chao,p7.3.n.txt,102,0.26201940000009927
chao,p7.3.o.txt,102,0.28638719999935347
chao,p7.3.p.txt,102,0.2969852000001083
chao,p7.3.q.txt,102,0.3034842000001845
chao,p7.3.r.txt,102,0.3572228500001984
chao,p7.3.s.txt,102,0.3129604499999914
chao,p7.3.t.txt,102,0.341247100000146
chao,p7.4.a.txt,102,0.009509499999694526
chao,p7.4.b.txt,102,0.02868914999999106
