dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_iterations_to_convergence_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.2.q.txt,100,2,2,1206.0,1206.0,1199.0,9.899494936611664,0.3555233000001863,0.3555233000001863,12.5,50.0,0.5804311774461027,1.1608623548922057,100,2,2,1204.0,1204.0,1199.0,7.071067811865476,0.3307061499990595,0.3307061499990595,7.0,50.0,0.4152823920265781,0.8305647840531563,0.0,-0.024817150001126775,-0.16514878541952466
chao,p4.2.r.txt,100,2,2,1205.0,1205.0,1200.0,7.071067811865476,0.3714328500000192,0.3714328500000192,18.0,50.0,0.4149377593360996,0.8298755186721992,100,2,2,1246.0,1246.0,1221.5,34.64823227814083,0.3090263999993112,0.3090263999993112,13.0,50.0,1.9662921348314608,3.932584269662921,21.5,-0.06240645000070799,1.5513543754953611
chao,p4.2.s.txt,100,2,2,1276.0,1276.0,1262.0,19.79898987322333,0.377682399999685,0.377682399999685,9.0,50.0,1.09717868338558,2.19435736677116,100,2,2,1289.0,1289.0,1271.0,25.45584412271571,0.4171175999990737,0.4171175999990737,16.0,50.0,1.3964313421256789,2.7928626842513578,9.0,0.039435199999388715,0.299252658740099
chao,p4.2.t.txt,100,2,2,1295.0,1295.0,1289.5,7.7781745930520225,0.3824365999998917,0.3824365999998917,12.0,50.0,0.4247104247104247,0.8494208494208495,100,2,2,1284.0,1284.0,1279.5,6.363961030678928,0.3633432500009803,0.3633432500009803,12.0,50.0,0.3504672897196261,0.7009345794392523,-10.0,-0.019093349998911435,-0.0742431349907986
chao,p4.3.a.txt,100,3,2,0.0,0.0,0.0,0.0,0.008222299999943,0.008222299999943,0.0,100.0,0.0,0.0,100,3,2,0.0,0.0,0.0,0.0,0.0078569999996034,0.0078569999996034,0.0,100.0,0.0,0.0,0.0,-0.00036530000033960057,0.0
chao,p4.3.b.txt,100,3,2,38.0,38.0,38.0,0.0,0.0273415000001477,0.0273415000001477,0.0,100.0,0.0,0.0,100,3,2,38.0,38.0,38.0,0.0,1.3283023499998308,1.3283023499998308,0.0,100.0,0.0,0.0,0.0,1.300960849999683,0.0
chao,p4.3.c.txt,100,3,2,193.0,193.0,190.0,4.242640687119285,0.0779124000000592,0.0779124000000592,13.5,50.0,1.5544041450777202,3.1088082901554404,100,3,2,187.0,187.0,187.0,0.0,0.0797633500005758,0.0797633500005758,13.5,100.0,0.0,0.0,-3.0,0.0018509500005166046,-1.5544041450777202
chao,p4.3.d.txt,100,3,2,335.0,335.0,328.5,9.192388155425116,0.1215293500004008,0.1215293500004008,17.0,50.0,1.9402985074626864,3.880597014925373,100,3,2,326.0,326.0,324.0,2.8284271247461903,0.1371060500005114,0.1371060500005114,8.5,50.0,0.6134969325153374,1.2269938650306749,-4.5,0.015576700000110605,-1.326801574947349
chao,p4.3.e.txt,100,3,2,460.0,460.0,460.0,0.0,0.1523312500007705,0.1523312500007705,7.0,100.0,0.0,0.0,100,3,2,460.0,460.0,451.5,12.020815280171307,0.1659300500004974,0.1659300500004974,1.0,50.0,1.8478260869565215,3.695652173913044,-8.5,0.013598799999726907,1.8478260869565215
chao,p4.3.f.txt,100,3,2,559.0,559.0,537.0,31.11269837220809,0.1807001999995918,0.1807001999995918,19.5,50.0,3.9355992844364938,7.8711985688729875,100,3,2,544.0,544.0,540.5,4.949747468305833,0.1911347499999465,0.1911347499999465,18.0,50.0,0.6433823529411764,1.2867647058823528,3.5,0.010434550000354703,-3.292216931495317
chao,p4.3.g.txt,100,3,2,622.0,622.0,602.0,28.284271247461906,0.2161365499996463,0.2161365499996463,13.5,50.0,3.215434083601286,6.430868167202572,100,3,2,600.0,600.0,594.5,7.7781745930520225,0.2175408499997502,0.2175408499997502,15.0,50.0,0.9166666666666666,1.8333333333333333,-7.5,0.001404300000103914,-2.2987674169346195
chao,p4.3.h.txt,100,3,2,673.0,673.0,663.0,14.142135623730953,0.2672533499994642,0.2672533499994642,16.0,50.0,1.4858841010401187,2.9717682020802374,100,3,2,675.0,675.0,662.0,18.384776310850235,0.2367999999996755,0.2367999999996755,12.5,50.0,1.925925925925926,3.851851851851852,-1.0,-0.030453349999788715,0.44004182488580734
chao,p4.3.i.txt,100,3,2,774.0,774.0,769.5,6.363961030678928,0.3614526500000465,0.3614526500000465,7.0,50.0,0.5813953488372093,1.162790697674419,100,3,2,767.0,767.0,757.0,14.142135623730953,0.2556779000005917,0.2556779000005917,8.0,50.0,1.303780964797914,2.607561929595828,-12.5,-0.1057747499994548,0.7223856159607046
chao,p4.3.j.txt,100,3,2,833.0,833.0,819.5,19.091883092036785,0.2950212999999166,0.2950212999999166,5.5,50.0,1.6206482593037217,3.241296518607443,100,3,2,833.0,833.0,806.0,38.18376618407357,0.2685615999998845,0.2685615999998845,13.5,50.0,3.241296518607443,6.482593037214886,-13.5,-0.026459700000032116,1.6206482593037213
chao,p4.3.k.txt,100,3,2,878.0,878.0,855.5,31.81980515339464,0.3740296999999373,0.3740296999999373,7.5,50.0,2.562642369020501,5.125284738041002,100,3,2,872.0,872.0,854.5,24.748737341529164,0.2685324999993099,0.2685324999993099,11.5,50.0,2.0068807339449544,4.013761467889909,-1.0,-0.1054972000006274,-0.5557616350755468
chao,p4.3.l.txt,100,3,2,916.0,916.0,892.0,33.94112549695428,0.3827089500000511,0.3827089500000511,16.0,50.0,2.6200873362445414,5.240174672489083,100,3,2,910.0,910.0,886.5,33.23401871576773,0.3095753499992497,0.3095753499992497,9.0,50.0,2.582417582417582,5.164835164835164,-5.5,-0.07313360000080144,-0.03766975382695925
chao,p4.3.m.txt,100,3,2,962.0,962.0,941.5,28.991378028648448,0.360961750000115,0.360961750000115,14.0,50.0,2.130977130977131,4.261954261954262,100,3,2,996.0,996.0,939.0,80.61017305526642,0.3087421500003984,0.3087421500003984,15.5,50.0,5.72289156626506,11.44578313253012,-2.5,-0.05221959999971659,3.5919144352879293
chao,p4.3.n.txt,100,3,2,1056.0,1056.0,1039.5,23.33452377915607,0.3521294000006492,0.3521294000006492,16.0,50.0,1.5625,3.125,100,3,2,1030.0,1030.0,1023.0,9.899494936611664,0.3047531000001982,0.3047531000001982,14.5,50.0,0.6796116504854369,1.3592233009708738,-16.5,-0.04737630000045101,-0.8828883495145631
chao,p4.3.o.txt,100,3,2,1076.0,1076.0,1069.5,9.192388155425116,0.3637143500000093,0.3637143500000093,17.5,50.0,0.604089219330855,1.20817843866171,100,3,2,1089.0,1089.0,1050.0,55.15432893255071,0.3096677499997895,0.3096677499997895,16.5,50.0,3.581267217630854,7.162534435261708,-19.5,-0.05404660000021977,2.9771779982999993
chao,p4.3.p.txt,100,3,2,1155.0,1155.0,1139.5,21.920310216782973,0.3723300000001472,0.3723300000001472,20.0,50.0,1.341991341991342,2.683982683982684,100,3,2,1121.0,1121.0,1115.0,8.48528137423857,0.3279024499997831,0.3279024499997831,14.5,50.0,0.535236396074933,1.070472792149866,-24.5,-0.044427550000364135,-0.8067549459164091
chao,p4.3.q.txt,100,3,2,1169.0,1169.0,1164.0,7.071067811865476,0.4144584000000577,0.4144584000000577,18.5,50.0,0.427715996578272,0.8554319931565441,100,3,2,1164.0,1164.0,1139.5,34.64823227814083,0.3446210499996596,0.3446210499996596,20.0,50.0,2.104810996563574,4.209621993127148,-24.5,-0.06983735000039809,1.677094999985302
chao,p4.3.r.txt,100,3,2,1175.0,1175.0,1165.0,14.142135623730953,0.3866478999998435,0.3866478999998435,12.0,50.0,0.851063829787234,1.702127659574468,100,3,2,1181.0,1181.0,1178.5,3.5355339059327378,0.3583883499995863,0.3583883499995863,4.5,50.0,0.2116850127011007,0.4233700254022015,13.5,-0.028259550000257205,-0.6393788170861333
chao,p4.3.s.txt,100,3,2,1239.0,1239.0,1228.5,14.849242404917495,0.3639892999999574,0.3639892999999574,14.0,50.0,0.847457627118644,1.694915254237288,100,3,2,1253.0,1253.0,1251.5,2.1213203435596424,0.3126126999995904,0.3126126999995904,18.0,50.0,0.1197126895450917,0.2394253790901835,23.0,-0.05137660000036698,-0.7277449375735523
chao,p4.3.t.txt,100,3,2,1271.0,1271.0,1261.0,14.142135623730953,0.371529599999576,0.371529599999576,16.5,50.0,0.7867820613690008,1.5735641227380015,100,3,2,1274.0,1274.0,1272.0,2.8284271247461903,0.3408557999991899,0.3408557999991899,14.5,50.0,0.1569858712715855,0.3139717425431711,11.0,-0.03067380000038611,-0.6297961900974153
chao,p4.4.a.txt,100,4,2,0.0,0.0,0.0,0.0,0.0094030000000202,0.0094030000000202,0.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.0108074500003567,0.0108074500003567,0.0,100.0,0.0,0.0,0.0,0.0014044500003364997,0.0
chao,p4.4.b.txt,100,4,2,0.0,0.0,0.0,0.0,0.0110811499998817,0.0110811499998817,0.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.0100265500004752,0.0100265500004752,0.0,100.0,0.0,0.0,0.0,-0.0010545999994065,0.0
chao,p4.4.c.txt,100,4,2,0.0,0.0,0.0,0.0,0.0091306000003896,0.0091306000003896,0.0,100.0,0.0,0.0,100,4,2,0.0,0.0,0.0,0.0,0.0100444999998217,0.0100444999998217,0.0,100.0,0.0,0.0,0.0,0.0009138999994320988,0.0
chao,p4.4.d.txt,100,4,2,38.0,38.0,38.0,0.0,0.0282769000004918,0.0282769000004918,0.0,100.0,0.0,0.0,100,4,2,38.0,38.0,38.0,0.0,1.5211095999993631,1.5211095999993631,0.0,100.0,0.0,0.0,0.0,1.4928326999988712,0.0
chao,p4.4.e.txt,100,4,2,182.0,182.0,182.0,0.0,0.0783048000002963,0.0783048000002963,10.5,100.0,0.0,0.0,100,4,2,172.0,172.0,172.0,0.0,0.0921187499998268,0.0921187499998268,0.0,100.0,0.0,0.0,-10.0,0.013813949999530506,0.0
chao,p4.4.f.txt,100,4,2,315.0,315.0,312.0,4.242640687119285,0.1249480000001312,0.1249480000001312,14.5,50.0,0.9523809523809524,1.9047619047619049,100,4,2,315.0,315.0,311.0,5.656854249492381,0.1295421999993777,0.1295421999993777,14.5,50.0,1.2698412698412698,2.5396825396825395,-1.0,0.004594199999246484,0.31746031746031733
chao,p4.4.g.txt,100,4,2,444.0,444.0,438.5,7.7781745930520225,0.1758510500003467,0.1758510500003467,15.0,50.0,1.2387387387387387,2.477477477477477,100,4,2,455.0,455.0,438.5,23.33452377915607,0.171000350000213,0.171000350000213,8.0,50.0,3.626373626373627,7.252747252747254,0.0,-0.004850700000133712,2.387634887634888
chao,p4.4.h.txt,100,4,2,522.0,522.0,519.0,4.242640687119285,0.2570897000000514,0.2570897000000514,3.5,50.0,0.5747126436781609,1.1494252873563218,100,4,2,528.0,528.0,526.5,2.1213203435596424,0.2033609999998589,0.2033609999998589,13.0,50.0,0.2840909090909091,0.5681818181818182,7.5,-0.053728700000192475,-0.29062173458725177
chao,p4.4.i.txt,100,4,2,636.0,636.0,630.5,7.7781745930520225,0.2609504500001094,0.2609504500001094,12.5,50.0,0.8647798742138365,1.729559748427673,100,4,2,636.0,636.0,629.0,9.899494936611664,0.2350513499986846,0.2350513499986846,10.5,50.0,1.10062893081761,2.20125786163522,-1.5,-0.025899100001424813,0.23584905660377353
chao,p4.4.j.txt,100,4,2,702.0,702.0,685.5,23.33452377915607,0.261951749999298,0.261951749999298,15.0,50.0,2.3504273504273505,4.700854700854701,100,4,2,711.0,711.0,693.0,25.45584412271571,0.2660393500000282,0.2660393500000282,8.5,50.0,2.5316455696202533,5.063291139240507,7.5,0.004087600000730218,0.18121821919290282
chao,p4.4.k.txt,100,4,2,748.0,748.0,744.5,4.949747468305833,0.2988081999997121,0.2988081999997121,18.5,50.0,0.4679144385026738,0.9358288770053476,100,4,2,745.0,745.0,727.0,25.45584412271571,0.2858601500001896,0.2858601500001896,14.0,50.0,2.416107382550336,4.832214765100671,-17.5,-0.012948049999522482,1.9481929440476624
chao,p4.4.l.txt,100,4,2,836.0,836.0,796.0,56.56854249492381,0.3215608999998949,0.3215608999998949,6.5,50.0,4.784688995215311,9.569377990430622,100,4,2,838.0,838.0,827.5,14.849242404917495,0.3167572999991535,0.3167572999991535,16.5,50.0,1.2529832935560858,2.505966587112172,31.5,-0.004803600000741426,-3.5317057016592255
chao,p4.4.m.txt,100,4,2,896.0,896.0,871.0,35.35533905932738,0.3367511499995999,0.3367511499995999,18.0,50.0,2.790178571428572,5.580357142857143,100,4,2,901.0,901.0,875.5,36.06244584051392,0.3150541000004523,0.3150541000004523,13.5,50.0,2.8301886792452837,5.660377358490567,4.5,-0.021697049999147566,0.04001010781671166
chao,p4.4.n.txt,100,4,2,928.0,928.0,914.0,19.79898987322333,0.3604112499997427,0.3604112499997427,16.5,50.0,1.5086206896551724,3.0172413793103448,100,4,2,927.0,927.0,897.0,42.42640687119285,0.3603985499994451,0.3603985499994451,6.0,50.0,3.2362459546925564,6.472491909385113,-17.0,-1.2700000297627412e-05,1.727625265037384
chao,p4.4.o.txt,100,4,2,972.0,972.0,972.0,0.0,0.3597744499998043,0.3597744499998043,11.0,100.0,0.0,0.0,100,4,2,962.0,962.0,962.0,0.0,0.3782180999996853,0.3782180999996853,16.5,100.0,0.0,0.0,-10.0,0.018443649999881018,0.0
chao,p4.4.p.txt,100,4,2,1009.0,1009.0,972.5,51.61879502661797,0.3747243500001787,0.3747243500001787,12.0,50.0,3.617443012884044,7.234886025768088,100,4,2,1005.0,1005.0,974.5,43.1335136523794,0.3619144000003871,0.3619144000003871,13.0,50.0,3.0348258706467663,6.069651741293533,2.0,-0.01280994999979157,-0.5826171422372775
chao,p4.4.q.txt,100,4,2,1051.0,1051.0,1031.0,28.284271247461906,0.3672635500006436,0.3672635500006436,16.5,50.0,1.9029495718363465,3.805899143672693,100,4,2,1063.0,1063.0,1044.0,26.87005768508881,0.3831727999995564,0.3831727999995564,17.5,50.0,1.7873941674506115,3.574788334901223,13.0,0.0159092499989128,-0.11555540438573497
chao,p4.4.r.txt,100,4,2,1126.0,1126.0,1124.5,2.1213203435596424,0.3753907000000254,0.3753907000000254,18.0,50.0,0.1332149200710479,0.2664298401420959,100,4,2,1129.0,1129.0,1108.0,29.698484809834994,0.3554291000000376,0.3554291000000376,11.0,50.0,1.8600531443755532,3.720106288751107,-16.5,-0.01996159999998781,1.7268382243045053
chao,p4.4.s.txt,100,4,2,1180.0,1180.0,1135.5,62.932503525602726,0.401874300000145,0.401874300000145,9.0,50.0,3.7711864406779663,7.5423728813559325,100,4,2,1185.0,1185.0,1184.5,0.7071067811865476,0.3446569500001715,0.3446569500001715,15.0,50.0,0.0421940928270042,0.0843881856540084,49.0,-0.05721734999997352,-3.728992347850962
chao,p4.4.t.txt,100,4,2,1256.0,1256.0,1232.0,33.94112549695428,0.4141391999996813,0.4141391999996813,18.0,50.0,1.910828025477707,3.821656050955414,100,4,2,1235.0,1235.0,1222.5,17.67766952966369,0.3610146499995608,0.3610146499995608,19.5,50.0,1.0121457489878545,2.0242914979757085,-9.5,-0.05312455000012051,-0.8986822764898525
chao,p5.2.a.txt,66,2,2,0.0,0.0,0.0,0.0,0.0039906999995764,0.0039906999995764,0.0,100.0,0.0,0.0,66,2,2,0.0,0.0,0.0,0.0,0.0039601499993295,0.0039601499993295,0.0,100.0,0.0,0.0,0.0,-3.055000024690044e-05,0.0
chao,p5.2.b.txt,66,2,2,20.0,20.0,20.0,0.0,0.0157371000000239,0.0157371000000239,0.0,100.0,0.0,0.0,66,2,2,20.0,20.0,20.0,0.0,0.0161737999997058,0.0161737999997058,0.0,100.0,0.0,0.0,0.0,0.0004366999996818985,0.0
chao,p5.2.c.txt,66,2,2,50.0,50.0,50.0,0.0,0.0186338499997873,0.0186338499997873,9.0,100.0,0.0,0.0,66,2,2,50.0,50.0,50.0,0.0,0.0172184000002744,0.0172184000002744,7.0,100.0,0.0,0.0,0.0,-0.0014154499995128987,0.0
chao,p5.2.d.txt,66,2,2,80.0,80.0,80.0,0.0,0.0245306500005426,0.0245306500005426,1.0,100.0,0.0,0.0,66,2,2,80.0,80.0,80.0,0.0,0.0235980999996172,0.0235980999996172,1.0,100.0,0.0,0.0,0.0,-0.0009325500009253994,0.0
chao,p5.2.e.txt,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.0318692000000737,0.0318692000000737,4.5,50.0,1.3888888888888888,2.7777777777777777,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.0325861000001168,0.0325861000001168,4.5,50.0,1.3888888888888888,2.7777777777777777,0.0,0.0007169000000431039,0.0
chao,p5.2.f.txt,66,2,2,240.0,240.0,227.5,17.67766952966369,0.0335665000002336,0.0335665000002336,4.0,50.0,5.208333333333334,10.416666666666668,66,2,2,215.0,215.0,215.0,0.0,0.0320444000008137,0.0320444000008137,1.5,100.0,0.0,0.0,-12.5,-0.0015220999994199,-5.208333333333334
chao,p5.2.g.txt,66,2,2,320.0,320.0,320.0,0.0,0.0452880000002551,0.0452880000002551,1.5,100.0,0.0,0.0,66,2,2,320.0,320.0,320.0,0.0,0.0410156000007191,0.0410156000007191,1.5,100.0,0.0,0.0,0.0,-0.004272399999536006,0.0
chao,p5.2.h.txt,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.049652000000151,0.049652000000151,2.0,50.0,0.641025641025641,1.282051282051282,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.0478367500008971,0.0478367500008971,1.5,50.0,0.641025641025641,1.282051282051282,0.0,-0.0018152499992538998,0.0
chao,p5.2.i.txt,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.0542196499995952,0.0542196499995952,6.5,50.0,0.5434782608695652,1.0869565217391304,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.0508355499996469,0.0508355499996469,6.5,50.0,0.5434782608695652,1.0869565217391304,0.0,-0.0033840999999482993,0.0
chao,p5.2.j.txt,66,2,2,555.0,555.0,555.0,0.0,0.0609465000002273,0.0609465000002273,7.5,100.0,0.0,0.0,66,2,2,555.0,555.0,552.5,3.5355339059327378,0.0664701999994576,0.0664701999994576,7.5,50.0,0.4504504504504504,0.9009009009009008,-2.5,0.005523699999230296,0.4504504504504504
chao,p5.2.k.txt,66,2,2,660.0,660.0,650.0,14.142135623730953,0.0685624500001722,0.0685624500001722,9.5,50.0,1.5151515151515151,3.0303030303030303,66,2,2,660.0,660.0,650.0,14.142135623730953,0.0644761499997912,0.0644761499997912,8.5,50.0,1.5151515151515151,3.0303030303030303,0.0,-0.004086300000381002,0.0
chao,p5.2.l.txt,66,2,2,770.0,770.0,760.0,14.142135623730953,0.0796817000000373,0.0796817000000373,12.0,50.0,1.2987012987012987,2.5974025974025974,66,2,2,770.0,770.0,740.0,42.42640687119285,0.0880403000001024,0.0880403000001024,9.0,50.0,3.896103896103896,7.792207792207792,-20.0,0.008358600000065108,2.5974025974025974
chao,p5.2.m.txt,66,2,2,835.0,835.0,817.5,24.748737341529164,0.0965237000000343,0.0965237000000343,5.5,50.0,2.095808383233533,4.191616766467066,66,2,2,830.0,830.0,815.0,21.213203435596427,0.0778585500002009,0.0778585500002009,4.0,50.0,1.8072289156626504,3.614457831325301,-2.5,-0.018665149999833403,-0.2885794675708824
chao,p5.2.n.txt,66,2,2,900.0,900.0,882.5,24.748737341529164,0.0954069500003242,0.0954069500003242,10.5,50.0,1.9444444444444444,3.888888888888889,66,2,2,890.0,890.0,880.0,14.142135623730953,0.3094534499996371,0.3094534499996371,12.5,50.0,1.1235955056179776,2.247191011235955,-2.5,0.21404649999931288,-0.8208489388264668
chao,p5.2.o.txt,66,2,2,995.0,995.0,967.5,38.89087296526012,0.1049856499998895,0.1049856499998895,14.5,50.0,2.763819095477387,5.527638190954774,66,2,2,985.0,985.0,975.0,14.142135623730953,0.1806101500005752,0.1806101500005752,12.0,50.0,1.015228426395939,2.030456852791878,7.5,0.0756245000006857,-1.7485906690814481
chao,p5.2.p.txt,66,2,2,1150.0,1150.0,1105.0,63.63961030678928,0.1186590499996782,0.1186590499996782,10.0,50.0,3.91304347826087,7.82608695652174,66,2,2,1150.0,1150.0,1120.0,42.42640687119285,0.091597950000505,0.091597950000505,17.0,50.0,2.608695652173913,5.217391304347826,15.0,-0.027061099999173208,-1.304347826086957
chao,p5.2.q.txt,66,2,2,1140.0,1140.0,1132.5,10.606601717798211,0.1029159500003515,0.1029159500003515,8.5,50.0,0.6578947368421052,1.3157894736842104,66,2,2,1160.0,1160.0,1135.0,35.35533905932738,0.1129174500001681,0.1129174500001681,15.0,50.0,2.155172413793104,4.310344827586207,2.5,0.010001499999816602,1.4972776769509988
chao,p5.2.r.txt,66,2,2,1250.0,1250.0,1247.5,3.5355339059327378,0.1073736499997721,0.1073736499997721,13.5,50.0,0.2,0.4,66,2,2,1240.0,1240.0,1225.0,21.213203435596427,0.6898574500000905,0.6898574500000905,18.0,50.0,1.2096774193548387,2.419354838709677,-22.5,0.5824838000003184,1.0096774193548388
