dataset,instance,num_nodes,mean_cpu_time_seconds
chao,p4.2.a.txt,100,0.47867869999754475
dang,bier127_gen1_m2.txt,128,21.262894299998152
vansteenwegen,bier127_gen1_m2.txt,128,21.353608300003543
