dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.4.e.txt,0,44007,100,4,22.5,181.0,181.0,0.0,1,0.3275656000005256,8,8,8,0,0,0,8,167120,ok
chao,p4.4.f.txt,0,45007,100,4,25.0,214.0,214.0,0.0,1,0.155874699998094,2,2,2,0,0,0,2,63616,ok
chao,p4.4.g.txt,0,46007,100,4,27.5,340.0,340.0,0.0,1,0.6635524000012083,8,8,8,0,0,0,8,438864,ok
chao,p4.4.h.txt,0,47007,100,4,30.0,305.0,305.0,0.0,1,0.28398770000057993,2,2,2,0,0,0,2,192896,ok
chao,p4.4.i.txt,0,48007,100,4,32.5,467.0,467.0,0.0,1,1.1764527000013913,8,8,8,0,0,0,8,709664,ok
chao,p4.4.j.txt,0,49007,100,4,35.0,361.0,361.0,0.0,1,0.5004915999998047,2,2,2,0,0,0,2,262080,ok
chao,p4.4.k.txt,0,50007,100,4,37.5,386.0,386.0,0.0,1,1.8528538999999,8,8,8,0,0,0,8,1055040,ok
chao,p4.4.l.txt,0,51007,100,4,40.0,394.0,394.0,0.0,1,0.7388014000025578,2,2,2,0,0,0,2,262080,ok
chao,p4.4.m.txt,0,52007,100,4,42.5,420.0,420.0,0.0,1,0.8452762000015355,2,2,2,0,0,0,2,300160,ok
chao,p4.4.n.txt,0,53007,100,4,45.0,432.0,432.0,0.0,1,0.9524376999979722,2,2,2,0,0,0,2,300160,ok
chao,p4.4.o.txt,0,54007,100,4,47.5,433.0,433.0,0.0,1,1.0154235000009066,2,2,2,0,0,0,2,300160,ok
chao,p4.4.p.txt,0,55007,100,4,50.0,446.0,446.0,0.0,1,1.0798905000010564,2,2,2,0,0,0,2,300160,ok
chao,p4.4.q.txt,0,56007,100,4,52.5,446.0,446.0,0.0,1,1.1422358999989228,2,2,2,0,0,0,2,300160,ok
chao,p4.4.r.txt,0,57007,100,4,55.0,446.0,446.0,0.0,1,1.2404366000009759,2,2,2,0,0,0,2,300160,ok
chao,p4.4.s.txt,0,58007,100,4,57.5,446.0,446.0,0.0,1,1.2834748000022955,2,2,2,0,0,0,2,300160,ok
chao,p4.4.t.txt,0,59007,100,4,60.0,446.0,446.0,0.0,1,1.3144590999982029,2,2,2,0,0,0,2,300160,ok
chao,p5.2.a.txt,0,60007,66,2,2.5,0,0.0,0.0,1,0.031803199999558274,1,1,1,0,0,0,1,1024,ok
chao,p5.2.b.txt,0,61007,66,2,5.0,20.0,20.0,0.0,1,0.05773670000053244,1,1,1,0,0,0,1,6016,ok
chao,p5.2.c.txt,0,62007,66,2,7.5,40.0,40.0,0.0,1,0.07219389999954728,1,1,1,0,0,0,1,6016,ok
chao,p5.2.d.txt,0,63007,66,2,10.0,80.0,80.0,0.0,1,0.15775289999874076,2,2,2,0,0,0,2,29440,ok
chao,p5.2.e.txt,0,64007,66,2,12.5,170.0,170.0,0.0,1,0.2304057000001194,2,2,2,0,0,0,2,40768,ok
chao,p5.2.f.txt,0,65007,66,2,15.0,190.0,190.0,0.0,1,0.36596279999866965,2,2,2,0,0,0,2,40768,ok
chao,p5.2.g.txt,0,66007,66,2,17.5,320.0,320.0,0.0,1,0.6183946000019205,2,2,2,0,0,0,2,84480,ok
chao,p5.2.h.txt,0,67007,66,2,20.0,390.0,390.0,0.0,1,0.7239822000010463,2,2,2,0,0,0,2,102080,ok
chao,p5.2.i.txt,0,68007,66,2,22.5,435.0,435.0,0.0,1,1.1579013999980816,3,3,3,0,0,0,3,149440,ok
chao,p5.2.j.txt,0,69007,66,2,25.0,560.0,560.0,0.0,1,0.9129702999998699,2,2,2,0,0,0,2,163072,ok
chao,p5.2.k.txt,0,70007,66,2,27.5,620.0,620.0,0.0,1,0.984549099997821,2,2,2,0,0,0,2,163072,ok
chao,p5.2.l.txt,0,71007,66,2,30.0,700.0,700.0,0.0,1,0.9864975000018603,2,2,2,0,0,0,2,185920,ok
chao,p5.2.m.txt,0,72007,66,2,32.5,800.0,800.0,0.0,1,1.0339382999991358,2,2,2,0,0,0,2,185920,ok
chao,p5.2.n.txt,0,73007,66,2,35.0,800.0,800.0,0.0,1,1.1098884999992151,2,2,2,0,0,0,2,185920,ok
chao,p5.2.o.txt,0,74007,66,2,37.5,800.0,800.0,0.0,1,1.08914459999869,2,2,2,0,0,0,2,185920,ok
chao,p5.2.p.txt,0,75007,66,2,40.0,800.0,800.0,0.0,1,1.033961699999054,2,2,2,0,0,0,2,185920,ok
chao,p5.2.q.txt,0,76007,66,2,42.5,800.0,800.0,0.0,1,1.1364353000026313,2,2,2,0,0,0,2,185920,ok
chao,p5.2.r.txt,0,77007,66,2,45.0,800.0,800.0,0.0,1,1.1168795999983558,2,2,2,0,0,0,2,185920,ok
chao,p5.2.s.txt,0,78007,66,2,47.5,800.0,800.0,0.0,1,1.090454100001807,2,2,2,0,0,0,2,185920,ok
chao,p5.2.t.txt,0,79007,66,2,50.0,800.0,800.0,0.0,1,1.0990242000007129,2,2,2,0,0,0,2,185920,ok
chao,p5.2.u.txt,0,80007,66,2,52.5,800.0,800.0,0.0,1,1.0566471000020101,2,2,2,0,0,0,2,185920,ok
chao,p5.2.v.txt,0,81007,66,2,55.0,800.0,800.0,0.0,1,1.0615327999985311,2,2,2,0,0,0,2,185920,ok
chao,p5.2.w.txt,0,82007,66,2,57.5,800.0,800.0,0.0,1,1.0776635000001988,2,2,2,0,0,0,2,185920,ok
chao,p5.2.x.txt,0,83007,66,2,60.0,800.0,800.0,0.0,1,1.0534726999976556,2,2,2,0,0,0,2,185920,ok
chao,p5.2.y.txt,0,84007,66,2,62.5,800.0,800.0,0.0,1,1.0632444000002579,2,2,2,0,0,0,2,185920,ok
chao,p5.2.z.txt,0,85007,66,2,65.0,800.0,800.0,0.0,1,1.0858731000007538,2,2,2,0,0,0,2,185920,ok
chao,p5.3.a.txt,0,86007,66,3,1.7,0,0.0,0.0,1,0.030412599997362122,1,1,1,0,0,0,1,1024,ok
chao,p5.3.b.txt,0,87007,66,3,3.3,15.0,15.0,0.0,1,0.0553775999978825,1,1,1,0,0,0,1,3040,ok
chao,p5.3.c.txt,0,88007,66,3,5.0,20.0,20.0,0.0,1,0.060553399998752866,1,1,1,0,0,0,1,960,ok
chao,p5.3.d.txt,0,89007,66,3,6.7,60.0,60.0,0.0,1,0.06779620000088471,1,1,1,0,0,0,1,6016,ok
chao,p5.3.e.txt,0,90007,66,3,8.3,85.0,85.0,0.0,1,0.11774879999939003,2,2,2,0,0,0,2,19840,ok
chao,p5.3.f.txt,0,91007,66,3,10.0,110.0,110.0,0.0,1,0.2836481999984244,5,5,5,0,0,0,5,54752,ok
chao,p5.3.g.txt,0,92007,66,3,11.7,160.0,160.0,0.0,1,0.28222859999732464,3,3,3,0,0,0,3,41360,ok
chao,p5.3.h.txt,0,93007,66,3,13.3,230.0,230.0,0.0,1,0.8003051000014239,8,8,8,0,0,0,8,129399,ok
chao,p5.3.i.txt,0,94007,66,3,15.0,255.0,255.0,0.0,1,0.6068046000000322,4,4,4,0,0,0,4,53184,ok
chao,p5.3.j.txt,0,95007,66,3,16.7,380.0,380.0,0.0,1,1.3217508000016096,7,7,7,0,0,0,7,150685,ok
chao,p5.3.k.txt,0,96007,66,3,18.3,385.0,385.0,0.0,1,1.7800707999995211,8,8,8,0,0,0,8,208792,ok
chao,p5.3.l.txt,0,97007,66,3,20.0,460.0,460.0,0.0,1,2.122019399997953,8,8,8,0,0,0,8,321036,ok
chao,p5.3.m.txt,0,98007,66,3,21.7,510.0,510.0,0.0,1,2.469236799999635,8,8,8,0,0,0,8,330995,ok
chao,p5.3.n.txt,0,99007,66,3,23.3,755.0,755.0,0.0,1,2.5887643000023672,8,8,8,0,0,0,8,416454,ok
chao,p5.3.o.txt,0,100007,66,3,25.0,630.0,630.0,0.0,1,2.7627164000004996,8,8,8,0,0,0,8,482478,ok
chao,p5.3.p.txt,0,101007,66,3,26.7,650.0,650.0,0.0,1,2.9056416999992507,8,8,8,0,0,0,8,551140,ok
chao,p5.3.q.txt,0,102007,66,3,28.3,720.0,720.0,0.0,1,3.0000737000009394,8,8,8,0,0,0,8,642406,ok
chao,p5.3.r.txt,0,103007,66,3,30.0,770.0,770.0,0.0,1,3.1139542999990226,8,8,8,0,0,0,8,688632,ok
chao,p5.3.s.txt,0,104007,66,3,31.7,1140.0,1140.0,0.0,1,3.057300299999042,8,8,8,0,0,0,8,694624,ok
chao,p5.3.t.txt,0,105007,66,3,33.3,870.0,870.0,0.0,1,3.228524899997865,8,8,8,0,0,0,8,716800,ok
chao,p5.3.u.txt,0,106007,66,3,35.0,1220.0,1220.0,0.0,1,3.145098200002394,8,8,8,0,0,0,8,720160,ok
chao,p5.3.v.txt,0,107007,66,3,36.7,1240.0,1240.0,0.0,1,3.15190640000219,8,8,8,0,0,0,8,720160,ok
chao,p5.3.w.txt,0,108007,66,3,38.3,900.0,900.0,0.0,1,3.2007126999997126,8,8,8,0,0,0,8,720160,ok
chao,p5.3.x.txt,0,109007,66,3,40.0,1240.0,1240.0,0.0,1,3.116225999998278,8,8,8,0,0,0,8,720160,ok
chao,p5.3.y.txt,0,110007,66,3,41.7,910.0,910.0,0.0,1,3.1033821999990323,8,8,8,0,0,0,8,715120,ok
chao,p5.3.z.txt,0,111007,66,3,43.3,910.0,910.0,0.0,1,3.1189898000011453,8,8,8,0,0,0,8,720160,ok
chao,p5.4.a.txt,0,112007,66,4,1.2,0,0.0,0.0,1,0.03041290000328445,1,1,1,0,0,0,1,1024,ok
chao,p5.4.b.txt,0,113007,66,4,2.5,0,0.0,0.0,1,0.024570499997935258,1,1,1,0,0,0,1,1024,ok
chao,p5.4.c.txt,0,114007,66,4,3.8,20.0,20.0,0.0,1,0.04937240000072052,1,1,1,0,0,0,1,3040,ok
chao,p5.4.d.txt,0,115007,66,4,5.0,20.0,20.0,0.0,1,0.04426169999715057,1,1,1,0,0,0,1,960,ok
chao,p5.4.e.txt,0,116007,66,4,6.2,20.0,20.0,0.0,1,0.058859700002358295,1,1,1,0,0,0,1,960,ok
chao,p5.4.f.txt,0,117007,66,4,7.5,80.0,80.0,0.0,1,0.07070359999852371,1,1,1,0,0,0,1,6016,ok
chao,p5.4.g.txt,0,118007,66,4,8.8,130.0,130.0,0.0,1,0.17909839999992982,3,3,3,0,0,0,3,29760,ok
chao,p5.4.h.txt,0,119007,66,4,10.0,140.0,140.0,0.0,1,0.30786730000181706,5,5,5,0,0,0,5,50869,ok
chao,p5.4.i.txt,0,120007,66,4,11.2,190.0,190.0,0.0,1,0.27900180000142427,3,3,3,0,0,0,3,26844,ok
chao,p5.4.j.txt,0,121007,66,4,12.5,270.0,270.0,0.0,1,0.4727506999988691,5,5,5,0,0,0,5,75202,ok
chao,p5.4.k.txt,0,122007,66,4,13.8,310.0,310.0,0.0,1,0.8003830000016023,8,8,8,0,0,0,8,141428,ok
chao,p5.4.l.txt,0,123007,66,4,15.0,320.0,320.0,0.0,1,0.5865794000019378,4,4,4,0,0,0,4,53184,ok
chao,p5.4.m.txt,0,124007,66,4,16.2,390.0,390.0,0.0,1,1.3064144999989367,8,8,8,0,0,0,8,154288,ok
chao,p5.4.n.txt,0,125007,66,4,17.5,460.0,460.0,0.0,1,1.6070283000008203,8,8,8,0,0,0,8,201950,ok
chao,p5.4.o.txt,0,126007,66,4,18.8,455.0,455.0,0.0,1,1.938610700002755,8,8,8,0,0,0,8,221280,ok
chao,p5.4.p.txt,0,127007,66,4,20.0,530.0,530.0,0.0,1,2.1247570000014093,8,8,8,0,0,0,8,304020,ok
chao,p5.4.q.txt,0,128007,66,4,21.2,580.0,580.0,0.0,1,2.2845930000003136,8,8,8,0,0,0,8,322589,ok
chao,p5.4.r.txt,0,129007,66,4,22.5,590.0,590.0,0.0,1,2.4906679000014265,8,8,8,0,0,0,8,369920,ok
chao,p5.4.s.txt,0,130007,66,4,23.8,650.0,650.0,0.0,1,3.9077625999998418,8,8,8,0,0,0,8,466288,ok
chao,p5.4.t.txt,0,131007,66,4,25.0,700.0,700.0,0.0,1,2.8580289999990782,8,8,8,0,0,0,8,484455,ok
chao,p5.4.u.txt,0,132007,66,4,26.2,710.0,710.0,0.0,1,2.935976800003118,8,8,8,0,0,0,8,528189,ok
chao,p5.4.v.txt,0,133007,66,4,27.5,780.0,780.0,0.0,1,3.017646699998295,8,8,8,0,0,0,8,583019,ok
chao,p5.4.w.txt,0,134007,66,4,28.8,1040.0,1040.0,0.0,1,3.1893219000012323,8,8,8,0,0,0,8,674282,ok
chao,p5.4.x.txt,0,135007,66,4,30.0,840.0,840.0,0.0,1,3.082198600000993,8,8,8,0,0,0,8,674394,ok
chao,p5.4.y.txt,0,136007,66,4,31.2,1500.0,1500.0,0.0,1,3.4346211000010953,8,8,8,0,0,0,8,650613,ok
chao,p5.4.z.txt,0,137007,66,4,32.5,940.0,940.0,0.0,1,3.4171289000005345,8,8,8,0,0,0,8,716800,ok
chao,p6.2.a.txt,0,138007,64,2,7.5,0,0.0,0.0,1,0.033464600001025246,1,1,1,0,0,0,1,992,ok
chao,p6.2.b.txt,0,139007,64,2,10.0,0,0.0,0.0,1,0.023969099998794263,1,1,1,0,0,0,1,992,ok
