dataset,instance,score,gap_to_reference_best_percent
chao,p6.2.n.txt,696.0,0.0
chao,p6.3.a.txt,0.0,0.0
chao,p6.3.b.txt,0.0,0.0
chao,p6.3.c.txt,0.0,0.0
chao,p6.3.d.txt,0.0,0.0
chao,p6.3.e.txt,0.0,0.0
chao,p6.3.f.txt,0.0,0.0
chao,p6.3.g.txt,270.0,0.0
chao,p6.3.h.txt,348.0,0.0
chao,p6.3.i.txt,438.0,0.0
chao,p6.3.j.txt,462.0,0.0
chao,p6.3.k.txt,564.0,0.0
chao,p6.3.l.txt,678.0,0.0
chao,p6.3.m.txt,726.0,0.0
chao,p6.3.n.txt,780.0,0.0
chao,p6.4.a.txt,0.0,0.0
chao,p6.4.b.txt,0.0,0.0
chao,p6.4.c.txt,0.0,0.0
chao,p6.4.d.txt,0.0,0.0
chao,p6.4.e.txt,0.0,0.0
chao,p6.4.f.txt,0.0,0.0
chao,p6.4.g.txt,0.0,0.0
chao,p6.4.h.txt,0.0,0.0
chao,p6.4.i.txt,0.0,0.0
chao,p6.4.j.txt,288.0,0.0
chao,p6.4.k.txt,372.0,0.0
chao,p6.4.l.txt,462.0,0.0
chao,p6.4.m.txt,528.0,0.0
chao,p6.4.n.txt,540.0,0.0
chao,p7.2.a.txt,30.0,0.0
chao,p7.2.b.txt,64.0,0.0
chao,p7.2.c.txt,96.0,0.0
chao,p7.2.d.txt,136.0,0.0
chao,p7.2.e.txt,178.0,0.0
chao,p7.2.f.txt,201.0,0.0
chao,p7.2.g.txt,247.0,0.0
chao,p7.2.h.txt,290.0,0.0
chao,p7.2.i.txt,314.0,0.0
chao,p7.2.j.txt,314.0,0.0
chao,p7.2.k.txt,314.0,0.0
chao,p7.2.l.txt,314.0,0.0
chao,p7.2.m.txt,314.0,0.0
chao,p7.2.n.txt,314.0,0.0
chao,p7.2.o.txt,314.0,0.0
chao,p7.2.p.txt,314.0,0.0
chao,p7.2.q.txt,314.0,0.0
chao,p7.2.r.txt,314.0,0.0
chao,p7.2.s.txt,314.0,0.0
chao,p7.2.t.txt,314.0,0.0
chao,p7.3.a.txt,0.0,0.0
chao,p7.3.b.txt,46.0,0.0
chao,p7.3.c.txt,79.0,0.0
chao,p7.3.d.txt,101.0,0.0
chao,p7.3.e.txt,165.0,0.0
chao,p7.3.f.txt,185.0,0.0
chao,p7.3.g.txt,214.0,0.0
chao,p7.3.h.txt,357.0,0.0
chao,p7.3.i.txt,429.0,0.0
chao,p7.3.j.txt,310.0,0.0
chao,p7.3.k.txt,330.0,0.0
chao,p7.3.l.txt,354.0,0.0
chao,p7.3.m.txt,367.0,0.0
chao,p7.3.n.txt,379.0,0.0
chao,p7.3.o.txt,379.0,0.0
chao,p7.3.p.txt,380.0,0.0
chao,p7.3.q.txt,380.0,0.0
chao,p7.3.r.txt,380.0,0.0
chao,p7.3.s.txt,380.0,0.0
chao,p7.3.t.txt,380.0,0.0
chao,p7.4.a.txt,0.0,0.0
chao,p7.4.b.txt,30.0,0.0
chao,p7.4.c.txt,46.0,0.0
chao,p7.4.d.txt,79.0,0.0
chao,p7.4.e.txt,114.0,0.0
chao,p7.4.f.txt,155.0,0.0
chao,p7.4.g.txt,180.0,0.0
chao,p7.4.h.txt,245.0,0.0
chao,p7.4.i.txt,249.0,0.0
chao,p7.4.j.txt,393.0,0.0
chao,p7.4.k.txt,411.0,0.0
chao,p7.4.l.txt,316.0,0.0
chao,p7.4.m.txt,428.0,0.0
chao,p7.4.n.txt,452.0,0.0
chao,p7.4.o.txt,584.0,0.0
chao,p7.4.p.txt,414.0,0.0
chao,p7.4.q.txt,427.0,0.0
chao,p7.4.r.txt,468.0,0.0
chao,p7.4.s.txt,468.0,0.0
chao,p7.4.t.txt,467.0,0.0
dang,bier127_gen1_m2.txt,12.0,0.0
dang,bier127_gen1_m3.txt,22.0,0.0
dang,bier127_gen2_m2.txt,955.0,0.0
dang,bier127_gen2_m3.txt,1173.0,0.0
dang,bier127_gen2_m4.txt,1338.0,0.0
dang,bier127_gen3_m2.txt,303.0,0.0
dang,bier127_gen3_m3.txt,402.0,0.0
dang,bier127_gen3_m4.txt,433.0,0.0
dang,cmt101c_m3.txt,630.0,0.0
dang,cmt151b_m3.txt,579.0,0.0
dang,cmt151c_m2.txt,385.0,0.0
dang,cmt151c_m3.txt,586.0,0.0
dang,cmt151c_m4.txt,644.0,0.0
dang,cmt200b_m2.txt,375.0,0.0
dang,cmt200b_m3.txt,428.0,0.0
dang,cmt200b_m4.txt,472.0,0.0
dang,cmt200c_m2.txt,375.0,0.0
dang,cmt200c_m3.txt,428.0,0.0
dang,cmt200c_m4.txt,472.0,0.0
dang,eil101b_m3.txt,350.0,0.0
dang,eil101c_m2.txt,297.0,0.0
dang,eil101c_m3.txt,350.0,0.0
dang,gil262_gen1_m3.txt,18.0,0.0
dang,gil262_gen1_m4.txt,20.0,0.0
dang,gil262_gen2_m2.txt,1153.0,0.0
dang,gil262_gen2_m3.txt,1333.0,0.0
dang,gil262_gen3_m2.txt,417.0,0.0
dang,gil262_gen3_m4.txt,517.0,0.0
dang,gil262a_m2.txt,1064.0,0.0
dang,gil262a_m4.txt,1345.0,0.0
dang,gil262b_m2.txt,1064.0,0.0
dang,gil262b_m3.txt,1245.0,0.0
dang,gil262b_m4.txt,1408.0,0.0
dang,gil262c_m2.txt,1064.0,0.0
dang,gil262c_m3.txt,1245.0,0.0
dang,gil262c_m4.txt,1408.0,0.0
dang,gr229_gen1_m4.txt,20.0,0.0
dang,gr229_gen2_m3.txt,1183.0,0.0
dang,gr229_gen2_m4.txt,1340.0,0.0
dang,gr229_gen3_m3.txt,323.0,0.0
dang,gr229_gen3_m4.txt,401.0,0.0
dang,kroA150_gen2_m2.txt,1031.0,0.0
dang,kroA150_gen3_m3.txt,624.0,0.0
dang,kroA200_gen1_m4.txt,20.0,0.0
dang,kroB200_gen1_m2.txt,16.0,0.0
dang,kroB200_gen2_m2.txt,1105.0,0.0
dang,kroB200_gen2_m4.txt,1455.0,0.0
