dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.3.q.txt,100,3,1,398.0,398.0,398.0,0.0,1.4860760000010487,1.4860760000010487,2.0,300160.0,100.0,0.0,0.0
chao,p4.3.r.txt,100,3,1,398.0,398.0,398.0,0.0,1.4170185000002675,1.4170185000002675,2.0,300160.0,100.0,0.0,0.0
chao,p4.3.s.txt,100,3,1,398.0,398.0,398.0,0.0,1.4832701999985147,1.4832701999985147,2.0,300160.0,100.0,0.0,0.0
chao,p4.3.t.txt,100,3,1,398.0,398.0,398.0,0.0,1.4598359000010532,1.4598359000010532,2.0,300160.0,100.0,0.0,0.0
chao,p4.4.a.txt,100,4,1,0.0,0.0,0.0,0.0,0.03576809999867692,0.03576809999867692,1.0,1568.0,100.0,0.0,0.0
chao,p4.4.b.txt,100,4,1,0.0,0.0,0.0,0.0,0.025770600001123967,0.025770600001123967,1.0,1568.0,100.0,0.0,0.0
chao,p4.4.c.txt,100,4,1,0.0,0.0,0.0,0.0,0.026889100001426414,0.026889100001426414,1.0,1568.0,100.0,0.0,0.0
chao,p4.4.d.txt,100,4,1,38.0,38.0,38.0,0.0,0.04382649999752175,0.04382649999752175,1.0,4672.0,100.0,0.0,0.0
chao,p4.4.e.txt,100,4,1,181.0,181.0,181.0,0.0,0.3275656000005256,0.3275656000005256,8.0,167120.0,100.0,0.0,0.0
chao,p4.4.f.txt,100,4,1,214.0,214.0,214.0,0.0,0.155874699998094,0.155874699998094,2.0,63616.0,100.0,0.0,0.0
chao,p4.4.g.txt,100,4,1,340.0,340.0,340.0,0.0,0.6635524000012083,0.6635524000012083,8.0,438864.0,100.0,0.0,0.0
chao,p4.4.h.txt,100,4,1,305.0,305.0,305.0,0.0,0.28398770000057993,0.28398770000057993,2.0,192896.0,100.0,0.0,0.0
chao,p4.4.i.txt,100,4,1,467.0,467.0,467.0,0.0,1.1764527000013913,1.1764527000013913,8.0,709664.0,100.0,0.0,0.0
chao,p4.4.j.txt,100,4,1,361.0,361.0,361.0,0.0,0.5004915999998047,0.5004915999998047,2.0,262080.0,100.0,0.0,0.0
